Unnamed: 0,project_id,project_name,revision,industry_segment,system_category,quote_date,start_date,dataset_role,include_in_training,stations_count,robot_count,fixture_sets,part_types,servo_axes,pneumatic_devices,safety_doors,weldment_perimeter_ft,fence_length_ft,conveyor_length_ft,product_familiarity_score,product_rigidity,is_product_deformable,is_bulk_product,bulk_rigidity_score,has_tricky_packaging,process_uncertainty_score,changeover_time_min,safety_devices_count,custom_pct,duplicate,has_controls,has_robotics,automation_level,Retrofit,complexity_score_1_5,drawing_count_est,manual_count,validation_reports_count,commissioning_hours,training_hours,support_weeks,plc_family,hmi_family,hmi_size_in,vision_systems_count,vision_type,safety_plc_flag,panel_count,drive_count,i_o_points_est,stations_robot_index,mech_complexity_index,controls_complexity_index,physical_scale_index,log_quoted_materials_cost,total_me_quoted_hours,total_me_original_estimate_hours,total_me_actual_hours,quoted_me10_hours,me10_original_estimate_hours,me10_actual_hours,me10_overrun_pct,quoted_me15_hours,me15_original_estimate_hours,me15_actual_hours,me15_overrun_pct,quoted_ee20_hours,ee20_original_estimate_hours,ee20_actual_hours,ee20_overrun_pct,quoted_pm200_hours,pm200_original_estimate_hours,pm200_actual_hours,pm200_overrun_pct,quoted_doc190_hours,doc190_original_estimate_hours,doc190_actual_hours,doc190_overrun_pct,quoted_bld100_hours,bld100_original_estimate_hours,bld100_actual_hours,bld100_overrun_pct,quoted_shp150_hours,shp150_original_estimate_hours,shp150_actual_hours,shp150_overrun_pct,quoted_rb30_hours,rb30_original_estimate_hours,rb30_actual_hours,rb30_overrun_pct,quoted_cp50_hours,cp50_original_estimate_hours,cp50_actual_hours,cp50_overrun_pct,quoted_me230_hours,me230_original_estimate_hours,me230_actual_hours,me230_overrun_pct,quoted_inst160_hours,inst160_original_estimate_hours,inst160_actual_hours,inst160_overrun_pct,quoted_trv180_hours,trv180_original_estimate_hours,trv180_actual_hours,trv180_overrun_pct,quoted_materials_cost
0,494-25-02,Sherwin-Williams Robotic Weld Cell,C,Heavy Equipment / Powertrain,Machine Tending,2025-03-30T00:00:00.000,2025-08-25T00:00:00.000,actuals,yes,6,2,2,3,1,15,2,0.0,88.116858,0.0,0.77,0.863,0,0,0.0,0,0.409,0,1,0.790766,1,1,1,Robotic,1,5,229,18,2,297,20,0.5,AB Compact Logix,Keyence,10.0,0,,1,2,5,158,12,15,4.196,26.4351,13.79145,743.25,740.05,1375.72,390.1,424.98,841.53,0.980164,96.06,106.15,288.44,1.717287,224.49,213.58,391.87,0.834769,350.68,294.14,423.19,0.438737,78.72,96.07,159.04,0.65546,608.63,760.11,936.96,0.232664,97.52,116.97,202.97,0.735231,391.08,339.79,694.73,1.044586,0.0,0.0,0.0,,110.36,119.15,266.23,1.23441,430.41,379,1020.09,1.691957,82.68,104.63,170.07,0.625442,976230
1,436-25-03,Illinois Tool Works Machine Tending,D,Food & Beverage,Engineered Manufacturing Systems,2025-01-06T00:00:00.000,2025-03-24T00:00:00.000,actuals,yes,5,4,1,2,0,9,1,13.807114,0.0,130.994474,0.457,0.898,0,0,0.0,1,0.502,0,6,0.934007,1,1,1,Robotic,0,5,317,8,2,295,40,1.0,Keyence,AB OPTIXPANEL,15.0,2,Matrox GTR5000,1,2,2,273,17,13,4.3253,40.006,13.437062,716.19,694.82,1639.84,476.74,569.72,1543.1,1.708523,91.63,83.04,194.44,1.341522,152.14,132.13,258.57,0.956936,342.1,312.94,666.36,1.129354,83.78,80.0,114.33,0.429125,550.06,674.47,1878.69,1.785432,62.36,64.28,136.03,1.11621,457.64,523.35,1737.61,2.320168,245.76,214.43,484.31,1.258593,188.38,237.01,395.49,0.668664,200.52,233,195.65,-0.161093,69.69,88.95,201.74,1.268016,684920
2,429-24-03,Illinois Tool Works Palletizer,B,Chemicals / Industrial Packaging,Machine Tending,2024-09-22T00:00:00.000,2024-10-07T00:00:00.000,actuals,yes,4,2,0,9,0,3,2,0.0,0.0,89.740169,0.798,0.903,1,0,0.0,0,0.721,0,1,0.831564,0,1,1,Robotic,0,4,193,15,2,302,0,0.5,Keyence,AB OPTIXPANEL,12.0,2,Cognex 3D,1,1,4,255,10,17,3.9814,17.948,13.10068,827.1,810.16,1227.45,464.4,460.23,1070.65,1.326337,88.89,103.13,142.45,0.381266,356.15,353.48,1002.77,1.836851,423.7,349.0,1067.82,2.059656,124.78,141.29,265.12,0.876424,847.24,713.13,1160.21,0.626926,98.48,125.95,269.8,1.14212,279.84,339.85,393.54,0.157981,290.59,331.25,712.8,1.151849,153.6,177.52,388.15,1.186514,398.67,423,1075.72,1.541091,101.81,127.22,223.92,0.760101,489280
3,464-24-03,Weldon End-of-Line Packaging,B,Automotive,Engineered Manufacturing Systems,2024-06-20T00:00:00.000,2024-12-14T00:00:00.000,actuals,yes,4,1,7,2,2,3,2,47.199664,0.0,0.0,0.598,0.739,0,0,0.0,0,0.846,0,1,0.982601,0,1,1,Robotic,0,5,193,15,3,330,20,0.5,AB Compact Logix,AB YW0,12.0,2,3D Vision,1,6,4,119,7,16,5.9474,47.1997,13.291644,295.08,277.8,599.71,196.22,189.78,432.35,1.278164,36.89,46.61,88.98,0.909032,64.16,64.77,128.6,0.985487,149.87,144.73,301.22,1.081255,33.43,38.3,98.61,1.574674,301.59,348.37,750.42,1.154089,18.68,21.72,46.21,1.127532,310.66,358.38,1165.41,2.251883,167.67,192.3,407.9,1.121165,111.8,138.64,338.63,1.442513,170.39,186,425.11,1.280266,22.36,26.6,44.56,0.675188,592230
4,423-24-02,Goodyear OP60 Cell,E,Precision Machining,Machine Tending,2024-10-26T00:00:00.000,2025-03-22T00:00:00.000,actuals,yes,1,3,4,5,0,0,1,0.0,0.0,77.858474,0.567,0.881,0,0,0.0,0,0.24,120,1,0.99,0,1,1,Robotic,0,4,228,9,2,238,0,0.0,,,,2,Cognex 3D,0,6,3,147,10,14,5.5124,15.5717,13.927062,597.44,675.46,992.98,315.69,351.67,915.56,1.603463,74.78,68.13,15.85,-0.767357,140.73,156.13,322.27,1.064113,262.21,255.92,553.1,1.161222,61.58,73.57,123.29,0.675819,711.81,915.15,1889.77,1.064984,55.51,65.45,133.4,1.038197,466.33,405.72,527.8,0.300897,179.9,216.64,270.22,0.247323,113.6,96.01,107.92,0.12405,329.84,419,911.62,1.174925,41.07,47.39,99.83,1.106563,1118010
5,435-22-01,Midwest Milk Kitting Cell,E,Pharmaceutical / Medical Device,Machine Tending,2022-11-30T00:00:00.000,2023-02-25T00:00:00.000,actuals,yes,2,2,3,13,3,8,1,64.26148,85.100821,25.204669,0.348,0.636,0,1,0.811,0,0.509,0,5,0.123401,1,1,1,Robotic,0,5,216,15,2,355,40,0.0,,,,0,,1,1,2,227,8,21,3.7132,94.8327,13.129929,542.15,550.72,334.26,298.81,249.66,146.16,-0.414564,69.73,58.36,86.72,0.485949,190.94,243.03,469.45,0.931655,232.39,238.49,332.26,0.393182,76.0,87.58,109.93,0.255195,631.03,730.58,1639.88,1.244628,58.5,64.95,24.79,-0.618322,272.08,249.78,549.0,1.197934,237.47,228.3,401.81,0.760009,180.92,157.34,323.06,1.05326,206.8,214,244.72,0.145532,50.02,45.76,17.4,-0.619755,503800
6,495-23-03,Rockwell Line West Palletize,D,Consumer Goods (Pet Products),Engineered Manufacturing Systems,2023-09-19T00:00:00.000,2023-12-30T00:00:00.000,actuals,yes,8,1,0,1,0,17,1,0.0,106.975365,36.75684,0.796,0.895,1,0,0.0,0,0.621,0,3,0.925212,0,1,1,Robotic,0,4,278,18,2,229,0,1.0,,,,2,Cognex 3D,1,5,4,216,11,11,5.7549,39.444,13.60422,815.15,759.43,1524.19,530.44,504.49,742.9,0.472576,85.02,72.77,141.22,0.940635,287.96,343.57,728.31,1.11983,439.6,429.46,939.59,1.187841,127.14,155.18,326.22,1.102204,427.27,450.34,762.94,0.694142,41.04,50.66,109.79,1.167193,696.77,648.88,1575.28,1.427691,332.05,363.21,699.95,0.927122,197.3,161.83,337.02,1.082556,403.2,445,1102.73,1.479494,54.15,50.08,125.74,1.510783,809540
7,507-23-01,Purina Laser Marking,G,Aerospace / Precision Machining,Engineered Manufacturing Systems,2023-02-24T00:00:00.000,2023-06-10T00:00:00.000,actuals,yes,6,2,7,3,0,8,1,56.041157,77.458669,0.0,0.339,0.791,0,0,0.0,0,0.962,0,4,0.658293,0,1,1,Robotic,0,5,284,8,2,333,40,1.0,AB Compact Logix,Keyence,12.0,0,,1,5,4,235,12,19,4.2338,79.2788,13.298899,1027.39,1042.56,1792.23,531.53,486.27,1405.66,1.890699,157.8,170.64,240.6,0.409986,436.86,384.53,847.31,1.203495,324.18,355.2,630.96,0.776351,140.58,115.97,281.33,1.425886,1506.46,1471.26,2848.42,0.936041,100.98,113.47,323.21,1.848418,818.95,787.28,1466.05,0.862171,494.01,499.08,1741.99,2.490402,312.18,348.71,802.27,1.30068,478.23,475,1236.7,1.601607,117.77,108.28,329.04,2.038788,596540
8,510-24-03,Caterpillar Kitting Cell,B,Chemicals / Industrial Packaging,Machine Tending,2024-05-07T00:00:00.000,2024-09-06T00:00:00.000,actuals,yes,1,0,2,10,4,7,0,0.0,0.0,0.0,0.823,0.927,1,0,0.0,0,0.424,120,3,0.143766,0,1,0,Hard Automation,0,2,99,8,2,177,8,0.0,AB GuardLogix,AB PanelView Plus,12.0,0,,0,5,4,118,1,13,3.1754,0.0,12.264292,372.35,417.29,684.36,208.62,207.42,576.77,1.780687,52.45,57.74,52.88,-0.08417,89.56,97.59,216.31,1.216518,127.99,131.86,195.48,0.482481,36.62,40.84,71.09,0.740695,539.84,544.21,1175.59,1.160177,37.12,37.12,73.17,0.971175,431.63,365.18,483.67,0.32447,117.83,141.28,370.2,1.620328,92.94,107.46,154.93,0.441746,159.02,176,428.5,1.438955,28.58,36.3,35.81,-0.013499,211990
9,473-25-01,Whirlpool Laser Marking,D,Food & Beverage,End of Line Automation,2025-04-28T00:00:00.000,2025-07-19T00:00:00.000,actuals,yes,3,0,1,2,1,14,2,0.0,4.467628,113.21793,0.272,0.608,0,0,0.0,0,0.446,0,2,0.699268,0,1,0,Semi-Automatic,0,3,120,18,3,194,40,3.5,AB Compact Logix,AB PanelView Plus,12.0,1,Keyence IV3,1,2,1,140,3,8,2.4919,23.9839,13.671631,365.52,399.89,459.8,198.26,249.37,577.89,1.3174,48.79,39.96,112.12,1.805806,142.82,155.92,261.02,0.674064,155.28,178.67,398.64,1.231152,34.7,37.57,24.01,-0.360926,383.12,340.52,445.88,0.309409,24.71,24.9,56.75,1.279116,184.81,175.88,411.92,1.342051,153.05,142.57,265.95,0.865399,103.08,127.19,233.11,0.83277,178.43,147,274.89,0.870127,38.16,32.63,45.81,0.403923,865990
10,487-22-01,Stanley Black & Decker Full Line Automation,C,Automotive,Machine Tending,2022-02-25T00:00:00.000,2022-03-23T00:00:00.000,actuals,yes,5,1,1,7,1,4,3,13.820329,0.0,0.0,0.689,0.598,1,0,0.0,0,0.948,15,4,0.924192,0,1,1,Robotic,1,4,234,9,2,308,20,0.5,,,,2,3D Vision,0,5,1,106,8,17,4.6037,13.8203,12.774169,752.12,680.61,2079.86,317.44,365.09,391.44,0.072174,79.5,74.29,196.29,1.642213,332.46,316.88,542.62,0.712383,379.06,406.87,699.27,0.718657,83.95,94.87,247.76,1.611574,821.48,759.18,1970.72,1.595853,55.58,70.07,95.44,0.362067,625.27,688.73,1476.34,1.143569,316.52,404.45,1118.21,1.764767,292.62,319.87,621.34,0.942477,249.29,284,745.53,1.627419,80.13,81.35,254.01,2.122434,352980
11,481-23-02,Raytheon Retrofit X7,A,Aerospace / Precision Machining,End of Line Automation,2023-06-18T00:00:00.000,2023-12-10T00:00:00.000,actuals,yes,3,0,10,5,1,10,2,23.046546,0.0,0.0,0.648,0.941,1,0,0.0,0,0.246,0,2,0.05,0,1,1,Robotic,0,2,153,18,2,159,8,0.5,AB Compact Logix,AB OPTIXPANEL,15.0,0,,0,5,0,152,3,20,2.9472,23.0465,12.245318,506.47,466.84,421.49,244.63,251.42,657.63,1.615663,64.99,80.58,9.24,-0.885331,201.7,200.68,268.92,0.340044,134.36,153.07,198.79,0.298687,69.79,90.49,72.04,-0.20389,571.76,681.77,1846.08,1.707775,48.72,57.0,78.77,0.38193,292.03,258.83,346.31,0.337982,130.13,117.47,103.42,-0.119605,206.67,221.73,339.47,0.531006,203.42,235,456.27,0.940584,51.12,44.7,59.23,0.325056,208010
12,456-23-03,GM Machine Tending,B,Automotive,Engineered Manufacturing Systems,2023-02-12T00:00:00.000,2023-07-29T00:00:00.000,actuals,yes,1,0,12,1,1,2,0,0.0,0.0,0.0,0.607,0.915,0,0,0.0,0,0.544,0,1,0.417343,1,1,1,Robotic,0,2,70,9,2,137,8,1.0,AB Compact Logix,Omron NA5,15.0,0,,1,1,1,266,1,14,1.6577,0.0,12.760658,365.7,351.52,651.49,189.38,166.45,230.84,0.386843,39.52,50.27,49.32,-0.018898,89.74,83.32,88.2,0.058569,130.1,112.86,245.59,1.176059,30.87,28.48,78.07,1.741222,539.62,447.69,968.91,1.164243,35.23,42.67,74.0,0.73424,296.93,287.3,571.49,0.989175,99.4,121.63,203.71,0.674834,53.95,59.67,83.53,0.399866,198.83,160,289.21,0.804855,40.65,39.08,87.86,1.248209,348240
13,436-22-03,Whirlpool OP40 Cell,E,Heavy Equipment / Powertrain,End of Line Automation,2022-06-12T00:00:00.000,2022-07-29T00:00:00.000,actuals,yes,10,2,2,1,0,6,4,0.0,0.0,0.0,0.935,0.864,0,0,0.0,0,0.817,240,2,0.374207,1,1,1,Robotic,1,5,301,8,2,294,0,1.0,AB Compact Logix,Keyence,12.0,0,,1,5,4,409,16,19,3.805,0.0,12.430275,965.48,964.47,1651.07,427.7,347.01,605.18,0.743984,138.84,115.33,216.92,0.880864,327.58,332.09,658.04,0.981511,348.11,384.23,878.05,1.28522,125.42,129.68,241.72,0.863973,980.86,793.14,625.62,-0.211211,112.36,91.38,125.46,0.372948,488.16,518.75,993.43,0.915046,0.0,0.0,0.0,,211.8,179.78,73.91,-0.588886,552.43,522,1195.63,1.291313,63.94,81.81,114.68,0.401785,250260
